기업명,대학명,대표자,사업자등록번호,산업분류,업종업태,주소
가나이엔지,조선대학교,정광래,586-87-00596,,태양광발전 설계시공 및 태양광가로등,
가든플란트,전남대학교,한태호,409-86-43030,,화훼육종,"광주광역시 북구 용봉로 77, 314(용봉동, 산학협력4호관)"
가민정보시스템,조선대학교,신용민,410-81-22404,,"서비스, 제조업, 부동산업",
가포생활건강,전남대학교,김한일,504-81-36896,바이오헬스,의료용 기기 제조업,
감온메디컬,서영대학교,임형구,803-88-01594,,"도소매, 제조업",
강남디벨로퍼스,전남대학교,윤성용,354-86-02705,데이터,정보통신업/포털 및 기타 인터넷 정보 매개 서비스업,"부산 수영구 망미배산로 56 109동 1104호 (망미동, 수영SKVIEW1단지)3"
강청,전남대학교,김민우,409-86-45789,스마트뿌리,제조업,광주광역시 북구 양일로 137-1 (양산동) 강청
건설큐엠시험원,전남대학교,박종수,601-87-01083,스마트뿌리,"품질관리용역, 재료시험검사분석",광주 북구 첨단벤처소로62번길 26 (월출동) (월출동)
고스트패스,전남대학교,이선관,411-86-01668,문화콘텐츠,정보통신업,"광주광역시 북구 첨단과기로 123 (오룡동, 광주과학기술원) 창업진흥센터 A동 320-1"
고창배영농조합,전남대학교,신점식,404-81-04191,메디헬스,농업 생산 수출,"전북 고창군 고창읍 녹두로 1265 고창배영농조합 (덕산리, 고창군농산물유통센타)"
골든엔지니어링,전남대학교,최재진,129-86-42101,스마트뿌리,"토목설게, 학술연구용역 / 서비스, 건설업","서울 송파구 법원로 92 10층 1003호 (문정동, 파트너스1)"
공간잇기 지역.사람.이야기 연구소,조선대학교,서준원,705-54-00296,,서비스,
공감피앤디,조선대학교,정태영,410-81-92180,,"엔지니어링, 학술연구용역, 소프트웨어개발업",
공드린에프엔비,전남대학교,정직,780-88-01817,스마트뿌리,제조업,"광주 광산구 월전동 1002 가동, 마동 1층 J"
공방503,조선대학교,정지연,332-65-00245,,서비스,
광고인,전남대학교,문시욱,268-88-01715,문화콘텐츠,"서비스업/온라인광고, 광고대행","광주 북구 군왕로51번길 118 1,2층 (두암동)"
광고인,조선대학교,문시욱,268-88-01715,,"온라인광고,광고대행",
광성지엠,전남대학교,한광수,117-81-30460,스마트뿌리,"제조, 건설서비스, 도매, 서비스",경기도 화성시 남양읍 남양로 441-16 (18269)
광우메딕스,전남대학교,이정우,409-86-33570,바이오헬스,의료기기 도매업,
광우알엔에이,전남대학교,조병진,410-81-96959,스마트뿌리,제조업/도소매(자동차부품),광주광역시 광산구 평동로 803번길 86 옥동881-15
광주365재활병원,서영대학교,"고상형, 김영진",410-92-53621,,"보건업(종합병원, 일반병원, 요양병원)",
광주광역시 광역치매센터,조선간호대학교,신일선,117-82-77986,,보건업 및 사회복지 서비스업,
광주광역정신건강복지센터,조선간호대학교,유승형,558-82-65492,,보건업 및 사회복지 서비스업,
광주글로벌모터스,동강대학교,윤몽현,437-86-01471,,제조업,
광주기독병원,기독간호대학교,이승욱,410-82-00687,,보건업 및 사회복지 서비스업,
광주도시여행청,조선대학교,조한이,408-86-13644,,"국내여행업, 행사기획",
광주동구정신건강복지센터(한마음터),조선간호대학교,박진우,408-89-01396,,보건업 및 사회복지 서비스업,
광주동구지역자활센터,조선대학교,이수정,408-82-11857,,서비스 제조 도소매,
광주병원,조선간호대학교,김명수,409-90-47917,,보건업 및 사회복지 서비스업,
광주북구동신지역자활센터,서영대학교,박철진,409-82-61762,,도매 및 소매업(공산품),
광주사회적경제지원샌터,전남대학교,최유진,162-82-00468,문화콘텐츠,서비스업,광주 광산구 하남산단8번로 177 2층 (도천동)
광주서구상무지역자활센터,서영대학교,박남연,305-82-89925,,사회복지업,
광주서구어린이급식관리지원센터,전남대학교,허영란,409-82-11942,문화콘텐츠,서비스,광주광역시 서구 상무오월로 27 (쌍촌동) 광주서구어린이급식관리지원센터 4층
광주서부신용협동조합,조선대학교,강명신,410-82-05436,,금융업,
광주씨티병원,기독간호대학교,김명종,408-05-98358,,보건업 및 사회복지 서비스업,
광주엠비씨프렌즈,조선대학교,이승철,754-88-02670,,일반음식점,
광주열린병원,서영대학교,서정평,410-91-27179,,보건업(병원),
광주일곡병원,조선간호대학교,윤만원,409-10-15086,,보건업 및 사회복지 서비스업,
광주해바라기호스텔,전남대학교,김형일,318-54-00753,문화콘텐츠,관광숙박업 호스텔,광주 북구 서방로31번길 9 광주해바라기호스텔 (중흥동)
광주현대병원,조선간호대학교,강용운,409-23-31145,,보건업 및 사회복지 서비스업,
광주희망병원,조선간호대학교,송근상,409-18-41431,,보건업 및 사회복지 서비스업,
광지주,조선대학교,김이린,323-81-02690,,"시각디자인,일반음식점,전시컨벤션,지역상품개발",
구례영배영농조합 법인,전남대학교,남강현,416-81-98824,메디헬스,농업도소매 과실재배업,전남 구례군 마산면 화엄사로 159-11 (마산리)
구전상사,전남대학교,서예원,264-81-32968,문화콘텐츠,서비스,"서울특별시 서초구 양재천로 17길 7, 5층 501호 (양재동)"
국가응급재난교육원,조선간호대학교,권려원,315-82-79424,,교육서비스업,
국립나주병원,조선간호대학교,윤보현,412-83-02937,,보건업 및 사회복지 서비스업,
국악예술단 소리樂,조선대학교,박준영,312-80-55695,,"전통 퓨전국악, 문화예술공연, 교육",
국제드론직업사관학교,전남대학교,이유상,846-88-00762,스마트뿌리,교육서비스업/무인항공기제조업/노동부직업능력개발훈련/드론제조,광주 서구 하남대로 672 윤city빌딩 3층(동천동)
국제보건교육실천협회,서영대학교,노은아,223-17-00407,,교육서비스업,
국제인재교육원,조선대학교,조정화,544-90-00253,,교육(웃음지도 등),
굿네이버스 인터내셔날 호남권역본부,서영대학교,이일하,105-82-13183,,"도매, 교육서비스업",
굿즈마인,전남대학교,염준,634-17-01533,스마트뿌리,제조업,"서울 관악구 남부순환로 1430 상가동 B101 (신림동, 신림푸르지오아파트)"
그룹포에이건축사무소,전남대학교,박동준,408-81-59460,스마트뿌리,건축설계 및 공사감리,광주 동구 동명로 25 3층 (동명동)
그린광학,조선대학교,조현일,301-81-36394,,제조,
그린요양병원,조선간호대학교,안수기,531-90-00577,,보건업 및 사회복지 서비스업,
그린토크,전남대학교,손영국,603-87-02720,스마트뿌리,제조업/전자 부품 플라스틱 기타,광주 광산구 손재로 236 세방산업내 (하남동)
극단 실한,조선대학교,정현준,209-91-70023,,"극단, 예술단체",
글로벌푸른친구들,전남대학교,임데레사,250-86-01137,메디헬스,제조/건강보조용액화식품,"서울 서초구 서초대로3길 10-2 2층 (방배동, Santiago)"
금철,전남대학교,정은숙,725-88-01450,스마트뿌리,제조업,전남 나주시 산포면 신도산단길 51-56 주식회사 금철 (신도리)
김민경,전남대학교,김정규,779-87-01843,광융합가전,서비스,"담양군 담양읍 천변6길 5-2, 300호 (모아빌라) (57343)"
김부자푸드,전남대학교,정태식,433-86-02240,메디헬스,제조/식품,광주 북구 두암동 462-11 1층 김부자푸드주식회사
나노바이오시스템,전남대학교,김장호,291-86-00857,스마트뿌리,제조업,"광주 북구 첨단과기로208번길 43-22 와이어스파크 A동 1820호 (오룡동, 와이어스파크(지식산업센터))"
나노솔루션,전남대학교,김형열,418-81-21582,스마트뿌리,카본나노튜브/제조업,"전북 전주시 덕진구 반룡로 110-11 101 (팔복동2가, 전주기계탄소 기술원)"
나눔테크,전남대학교,최무진,410-81-98020,스마트뿌리,제조업,"광주 북구 첨단벤처소로 57 (월출동, ㈜나눔테크)"
